keluhan;bagian
"Salam.
Saya ingin menyampaikan keluhan mengenai pengumuman peserta wisuda. Wisuda bulan Agustus diadakan 2 kloter, yaitu tanggal 14 dan 15. Namun sampai dengan awal Agustus belum ada kepastian mengenai pembagian kloter untuk setiap jurusannya, misalnya D3 Komputerisasi Akuntansi dapat tanggal 14 atau 15, juga belum ada surat resmi dan undangan orang tua. Beberapa orang tua berprofesi sebagai pegawai negeri, seperti orang tua saya, dan izinnya harus ke dinas dengan menyertakan undangan wisuda. Tidak bisa izin sembarangan dan seenaknya. Selain itu, orang tua saya juga dari luar kota dan perlu memesan tiket, penginapan, dan lain-lain. ;
Alangkah baiknya, pengumuman dan undangan orang tua dibagikan setidaknya sebulan sebelum atau paling tidak ya awal Agustus, supaya yang dari luar kota juga bisa bersiap-siap. Saya harap ketidaknyamanan ini tidak terulang lagi untuk wisuda periode selanjutnya dan saya harap segera diperbaiki. Terima kasih.";BAA
permisi untuk wisuda pada bulan agustus diketerangan tertera Anda belum mengisi I-Gracias menu Tracer Study Sensus Member Tel-U Career sedangkan sudah saya buka pada trace study sensus disana tidak tertera member tel-u career itu bagaimana solusinya;BAA
"""Nama saya Salma Umi Chasanah dengan NIM 1104130067 dengan status sudah sidang akademik pada 26 Januari 2018
Namun pada saat akan melakukan pendaftaran wisuda secara online dari igracias tidak dapat dilakukan dikarenakan alasan yang tidak diketahui. Mohon informasi terkait hal ini.
Terima kasih
Regards,
Salma Umi Chasanah""";BAA
selamat malam. saya ingin mendaftar wisuda tetapi pada menu wisuda saya tidak bisa input, menunya hanya cetak berita acara. sedangkan ketika saya cetak berita acara adanya itu di cancel pada wisuda november. mohon pencerahannya;BAA
"Selamat malam bapak/ibu admin saya ingin melaporkan bahwa saya tidak bisa mendaftar wisuda pada igracias sementara saya sudah sidang tingkat akhir, penandatanganan ijazah juga suda dan ketika mau mendaftar melalui igracias tidak bisa, saya belum diizinkan, mohon segera di proses bapak/ibu admin.
 ;
Terimakasih banyak.";BAA
"Assalamualaikum, maaf menganggu ada beberapa hal yang tidak sesuai pada igracias saya

Status pembayaran untuk tahun ajaran 17/18 dinyatakan belum lunas, padahal saya sudah lulus yudisium pada 8 september
Di status sidang dinyatakan saya belum sidang padahal saya sudah sidang, dan dinyatakan lulus beserta revisi2nya

Mohon diperiksa, takutnya akan menjadi kendala pada saat pendaftaran wisuda nantinya
Terima kasih";BAA
Assalamualaikum min, saya tidak mengerti lagi ini. kenapa dalam pendaftaran wisuda di suruh mengisi trace study, menu nya tidak tersedia . tolong menu tersebut di munculkan.TerimakasihMuhammad Dzakwan Falih;BAA
"Selamat pagi maaf menggangu, disini saya mengalami kendala saat mau mencetak KSM awal semester 6 kemarin, sepertinya file KSM semester 6 kemarin sudah ketimpa dengan sistem registrasi baru untuk semester kedepanya, jika saya ingin mencetak ksm untuk semester 6 kemarin apakah bisa ? misalnya bisa tahap-tahapnya bagaimana ya ? jawaban dan bantuan anda sangat bermanfaat bagi saya.
Terima kasih.";BAA
"1. Pembayaran SPP Genap 1415 dianggap belum lunas di iGracias.
2. Saya ingin membayar tagihan semester ini (Genap 1617) yang tertunggak (karena terlambat registrasi), namun tidak tampak nilai tagihannya. ;
mohon solusi pada kesempatan pertama, mengingat setelah poin1 2 selesai, saya akan mengajukan ijin cuti. ;
terima kasih
hendri purnaratman
(alumni S1 STTT dan mahasiswa S2 W-2";BAA
saya ryan mahasiswa teknik industri 2016, saya menggunakan beasiswa jpu, tetapi tidak hanya 1x saya mengalami keterlambatan pencairan beasiswa, jadi mepet dengan  registrasi matkul;BAA
"Selamat pagi,
Saya Andika Tegar Setiawan penerima beasiswa internal JPPAU ingin melaporkan sekaligus komplain berkaitan dengan beasiswa yang saya terima. Sesuai dengan perjanjian sebelumnya, jika IP semester saya memenuhi syarat dan ketentuan saya akan mendapatkan potongan BPP, IP semester yang saya peroleh 3.53, sedangkan pada sistem igracias jumlah BPP masih terhitung jumlah BPP normal, dan ini tidak sesuai dengan perjanjian sebelumnya dimana jika pada batas BPP tertentu saya akan memperoleh potongan BPP. Dikarenakan jumlah BPP belum merupakan hasil potongan saya belum bisa melakukan pembayaran dan registrasi pun terhambat. Saya mohon untuk segera memproses dan menginformasikan berapa BPP yang harus saya bayarkan demi kelancaran saya dalam registrasi di semester ini.
Terimakasih.";BAA
maaf saya mau lapor sudah 3 semester terakhir pencairan beasiswa saya terlalu mepet dengan masa registrasi mata kuliah, sehingga saya tidak bisa mengambil matkul yang saya inginkan;BAA
"Assalamualaikum saya dwi ratna sari dari S1 sistem informasi dengan nim 1202150258, saya ingin bertanya perihal dengan sks yg saya ambil kenapa hanya mencapai 20 sks saja, padahal. Ips acuan saya pada semester kemarin sebesar 3.13 yang mana harusnya dapat mengambil sebanyak 24 sks. Waktu kmaren pagi ketika registrasi saya masi bisa mengambil 24 sks, ; akan tetapi pas malam harinya ketika ingin submit batas sks yg dapat saya ambil hanya 20 sks. ; Kenapa bisa berubah? ; Pdhal ips acuan saya memenuhi syarat. Trimakasih";BAA
"Selamat pagi saya Nadia Wulandari alumni dari prodi administrasi bisnis.
Terkait layanan yang saya pilih yaitu penerbitan ijazah, apakah dari pihak kampus bisa menerbitkan kembali ijazah asli? karena ijazah saya masih tertahan di satu korporat.
mohon bantuannya dan saya tunggu kabar baiknya
 ;
Terima kasih";BAA
"Sebelumnya saya mengucapkan terima kasih telah dibantu untuk legalisasi ijazah dan transkrip secara online.
Saya ingin memberikan masukan. Untuk dokumen legalisasi yg dikirim, mohon untuk dapat diletakkan dengan map yang berbahan keras  ;yang berguna untuk melindungi itu sendiri.
Hal ini saya sampaikan karena dokumen yang saya terima tertekuk dan terlipat.
Terimakasih.";BAA
"Saya ingin menggunakan aplikasi DeLa untuk keperluan legalisasi Ijazah Transkrip Nilai, tetapi ketika saya login dengan menggunakan akun igracias yang saya miliki tidak bisa. Kemudian saya mencoba untuk membuat akun baru dan tidak bisa juga dengan keterangan ""failed, Your Account Already Exist"".
Mohon bantuannya karena saya sangat membutuhkan legalisasi tersebut. Terimakasih. :)";BAA
"Selamat malam bapak/ibu admin saya ingin melaporkan bahwa saya tidak bisa mendaftar wisuda pada igracias sementara saya sudah sidang tingkat akhir, penandatanganan ijazah juga suda dan ketika mau mendaftar melalui igracias tidak bisa, saya belum diizinkan, mohon segera di proses bapak/ibu admin.
 ;
Terimakasih banyak.";BAA
Assalammualaikum, berikut saya lampirkan keluhan karena saya mendapatkan email mengenai denda herregistrasi dan biaya wisuda, padahal saya tidak telat registrasi dan tidak mengajukan wisuda. Mohon segera ditindaklanjuti. Terimakasih;BAA
"Sebelumnya maaf karena tidak sesuai dengan layanan kategori yang saya inginkan, karena pada saat saya memilih untuk bagian ijazah tidak ada sub kategori sedangkan diharuskan untuk memilih sub kategori (dilampiran)
 
 Dan karena tidak ada divisi khusus untuk penanganan wisuda, saya ingin memberi masukan kepada Telkom untuk memperbaiki fasilitas yang di berikan pada saat wisuda. Dikampus lain dengan harga wisuda yang lebih murah mendapatkan sepaket tiga dengan bahan dan jahitan yang rapi, sedangkan di telkom harus membayar lagi 200rb dengan bahan toga yang jelek. Lalu mengapa tidak ada penghargaan untuk mahasiswa dengan predikat lulus yang baik? Sedangkan di kampus lain sangat menghargai itu dengan memberikan selempang khusus. Mohon dipertimbangkan untuk perbaikan wisuda berikutnya.";BAA
saya sudah melakukan registrasi tetapi jadwal yang berlaku tetap yg lama dan proses registras belum selesai padahal saya sudah melakukan pencetakan ktm sesuai prosedur;BAA
Yth bapak/ ibu yang berwenang,saya nabilah huwaida mahsiswa yang akan mencetak KSM. Matakuliah saya telah di ACC oleh dosen wali, Namun berkas KSM tidak muncul ketika saya membuka arsip KSM. di tuliskan tidak ada ksm yang ber laku. Mohon bantuan bapak/ibu dalam menyelesaikan masalah igracias ini. padahal selama saya registrasi saya selalu mencetak KSM yang di haruskan.;BAA
Sore admin, saya ada masalah tentang registrasi. Kemarin saya input mata kuliah ada yang salah pilih kelas (mata kuliah Merancang Interior III kelasnya salah) , dan sudah di reset Wali dosen, tapi sekarang mau mengganti (menghapus lalu input kelas yang benar) tidak bisa dilakukan. Berikut dilampirkan screenshot nya. Mohon bantuannya. ;BAA
selamat siang, maaf saya ingin menanyakan perihal registrasi mata kuliah. saya mahasiswa ilmu komputasi yang ingin mengambil semester 10 pada masa registrasi sekarang ini. permasalahan saya mengenai preview jadwal yang tidak tertera, jadi saya tidak mengetahui apakah mata kuliah yang saya pilih tersebut bentrok atau tidak. Mohon untuk segera diperbaiki mengenai preview jadwal tersebut. terima kasih.;BAA
semua mahasiswa kelas IF-41-INT mengalami kendala dalam melakukan registarasi mata kuliah. kami tidak dapat melakukan registrasi dikarenakan mata kuliah default kami tidak muncul di registrasi mata kuliah. kami sudah melakukan pembayaran bpp dan web sudah kami coba untuk refresh tapi tetap tidak mengeluarkan mata kuliah default kami. terimakasih.;BAA
"Saya tidak bisa melakukan input registrasi mata kuliah semester genap. Padahal saya sudah berkali-kali mencoba menghubungi dosen wali dan sampai hari ini masih saja tidak bisa. Saya khawatir jika sampai deadline waktu yang ditentukan saya masih tetap tidak bisa registrasi mata kuliah.
 
 Mohon direspon secepatnya dan sistemnya tolong diperbaiki as soon as possible karena gangguan seperti ini sangat mengganggu kelancaran proses registrasi.";BAA
Saya sebagai mahasiswa yang masuk lewat JPU seharusnya tidak perlu membayar BPP untuk semester 2 dikarenakan IP saya yang mencukupi. Namun, saya tidak bisa melakukan registrasi dikarenakan saya belum melakukan pembayaran biaya registrasi sebesar rp.8.150.000 yang dimana seharusnya saya tidak perlu melakukan hal itu.;BAA
Selamat siang, saya muhammad sholahuddin arrosyid dari teknik telekomunikasi 2017 1101174415. Jadi pada saat registrasi mata kuliah saya tidak sengaja mencentang matkul pkn dan saya lihat di matkul semester genap ada pkn, karena saya sudah mengambil matkul tersebut lalu saya hapus. Akibatnya sks semester 1 saya jadi 16 dari 19 sks. Sebelumnya ip semester 1 saya 3.5 turun menjadi 3.41 karena sks smt 1 saya hanya 16 padahal sebelum registrasi nilai akhir saya dengan 19 sks adalah 3.5.;BAA
"Selamat malam.
Saya Sahnaz mahasiswa kriya tekstil dan mode 2015. Saya tidak dapat melakukan registrasi mata kuliah dikarenakan mata kuliah yang tersedia tidak dapat dicentang.Berikut mata kuliah yang akan saya ambil ; : Tugas Akhir, e-fashion, dan budaya nusantara. ;
Mohon info dan tindakan lanjutannya. Terimakasih. ";BAA
"Selamat malam, ;
Kepada Yth. Bpk/Ibu
 ;
Mohon maaf, saya ingin melaporkan perihal registrasi di igracias. Bahwa, matakuliah ""Tugas Akhir"" yang akan di ambil tidak dapat dipilih, maupun di tambahkan. Masalah ini juga terjadi kepada teman satu kelas saya lainnya.
Mohon bantuan untuk memperbaikinya. Terimakasih banyak.";BAA
Tidak bisa melakukan registrasi untuk mata kuliah yang dipilih semester sekrang yaitu budaya nusantara dan TA karena kolom yang tersedia sudah dinyatakan lulus padahal belum pernah mengambil mata kuliah tersebut;BAA
Tidak dapat melakukan registrasi mata kuliah;BAA
"Saya Andika Tegar Setiawan penerima beasiswa internal JPPAU ingin melaporkan sekaligus komplain berkaitan dengan beasiswa yang saya terima. Sesuai dengan perjanjian sebelumnya, jika IP semester saya memenuhi syarat dan ketentuan saya akan mendapatkan potongan BPP, IP semester yang saya peroleh 3.53, sedangkan pada sistem igracias jumlah BPP masih terhitung jumlah BPP normal, dan ini tidak sesuai dengan perjanjian sebelumnya dimana jika pada batas BPP tertentu saya akan memperoleh potongan BPP. Dikarenakan jumlah BPP belum merupakan hasil potongan saya belum bisa melakukan pembayaran dan registrasi pun terhambat. Saya mohon untuk segera memproses dan menginformasikan berapa BPP yang harus saya bayarkan demi kelancaran saya dalam registrasi di semester ini.
Terimakasih.";BAA
"Kebijakan setiap semester untuk penerima beasiswa suka berubah-ubah. Misal semester 2 dapat registrasi walaupun belum melakukan pembayaran, lalu semester 3 tidak dapat registrasi sebelum membayar.
Kemudian, sistem kadang telat memberitahukan berapa jumlah beasiswa yang didapat, sehingga telat mengetahui berapa jumlah bpp yang harus dibayarkan.";BAA
"aya ;rachmah firstriani, S1 Kriya tekstil dan mode, kelas KR 39 03B tidak bisa melakukan registasi online karena tidak ada pilihan matakuliah dan kelas sesuai dengan aturan yang seharusnya diambil pada semester genap ini pada pilihan registrasi serta tidak bisa melakukan klik pada kolom pilih yang seharusnya. Mata kuliah tersebut adalah:
Tugas Akhir (tidak bisa di Klik) ;
E-Fashion kelas KR 39 03B (tidak ada kelas dan tidak bisa di klik)
Budaya Nusantara kelas KR 39 03 (tidak ada kelas dan tidak bisa di klik)
dimohon untuk kerjasamanya terimakasih";BAA
nilai eprt saya sudah 2 minggu belum keluar;PUSAT BAHASA
headphone yang disediakan saat test kurang baik, kurang jelas bila mendengar;PUSAT BAHASA
saya elvan dari s1 teknik industri, saya merasa antriannya pada pusat bahasa terlalu lama, karena jumlah admin tidak sebanding dengan jumlah mahasiswa;PUSAT BAHASA
banyaknya mahasiswa yang mendaftar tetapi tidak sebanding dengan banyaknya admin yang ada, hal itu membuat antrian menumpuk;PUSAT BAHASA
jumlah kursinya kurang, sehingga banyak yg menunggu sambil berdiri;PUSAT BAHASA
saya mengalami kesulitan dalam membayar Eprt di m-banking mandiri, mohon bantuannya;PUSAT BAHASA
saya ryan mahasisswa s1 teknik indurstri, saya merasa speaker saat test listening itu terlalu jauh dari kursi saya yang di belakang, dan hanya menguntungkan yang berada di baris depan;PUSAT BAHASA
saya mengalami kesulitan dalam registrasi di pusat bahasa;PUSAT BAHASA
saya ari mahasiswa tingkat akhir fak. Ilmu terapan, saya sudah tes eprt sebanayk 2x dan masih belum mencapai target skor, dan ini sudah mepet pendaftaran sidang terakhir di semester ini, apakah saya bisa mendapat keringanan ?;PUSAT BAHASA
sudah hampir 2 minggu nilai eprt saya belum keluar, padahal saya di janji akan keluar skor eprt nya dalam 1 hari;PUSAT BAHASA
saya mengikuti eprt online tetapi hasil skor eprt nya belum keluar padahal udah lebih dari 1 hari, sedangkan di janjiin nya h+3 jam dari beres tes;PUSAT BAHASA
mengapa ya akhir2 ini tidak bisa melakukan pembayaran test eprt melalui m-banking ? Teman2 saya juga demikian;PUSAT BAHASA
selamat siang, saya dosen LB hendak mendaftarkan test di pusat bahasa untuk upgrading ke kelas internasional, tetapi saya menemukan berbagai bug pada saat mendaftar. Mohon ditindaklanjuti;PUSAT BAHASA
assalamualaikum wr wb, saya rafly dari s1 sisfo, saya ingin memberitahukan bahwa kualitan headphone saat test eprt masih kurang layak dan tidak sebanding dengan biaya yang dikeluarkan. Terimakasih;PUSAT BAHASA
maaf sebelumnya , saya bingung kenapa hampir seluruh teman2 saya yang hendak membayar eprt lewat m-banking itu tidak bisa ya ? Apakah ada masalah dari bank nya atau bagaimaa ? Terimakasih;PUSAT BAHASA
selamat siang, saya maba s1 teknik fisika 2019, saya merasa kurang diuntungkan dengan adanya speaker listening session yg berada di depan ruangan, hal itu membuat barisan belakang kurang terdengar dan barisan depan terlalu bising. Mohon ditindaklanjuti;PUSAT BAHASA
Tidak bisa melakukan pembayaran tes EPrt melalui atm,m-banking dan taller di bank mandiri. Makasih;PUSAT BAHASA
Tidak bisa melakukan pembayaran Eprt melalui m-banking, atm transfer, dan teller bank mandiri. Terimakasih;PUSAT BAHASA
"Maaf sebelumnya ,untuk bagian layanan tidak sesuai soalnya hanya itu yang ada, ; saya hanya ingin bertanya masalah dengan nilai eprt, pada bagian Listening Competence itu tidak tertera nilai , itu bagaimana ya ? apa tidak apa?
 
 terima kasih";PUSAT BAHASA
"""Selamat pagi admin,
 
 saya Annisa dosen LB dari FTE mau melaporkan bug yang ada dan meminta bantuannya untuk diarahkan/diperbaiki.
 
 Saya mau mendaftarkan tes di pusat bahasa untuk keperluan upgrading dosen kelas internasional. namun saat akan mendaftar dan menuliskan nama saya terdapat tulisan seperti pada gambar pertama (tidak bisa diproses karena tidak ada foto profil). lalu ada perintah untuk memasukkan foto profil dengan melampirkan link. namun saat link tsb di klik tidak masuk ke halaman manapun, tapi masuk ke halaman utama. Saya coba cari-cari dibagian akun, namun tidak ada opsi unggah foto profil, adapun opsi """"masukkan data dosen"""" tidak bisa diakses (forbidden) seperti tertera pada gambar terakhir.
 
 Apakah admin bisa membantu saya untuk menyelesaikan urusan tersebut? Karena saya perlu mendaftar tes ke pusat bahasa sesegera mungkin untuk urusan upgrading dosen kelas internasional.
 
 Terima kasih sebelumnya.""";PUSAT BAHASA
proses di bagian pelayanan pendaftar nya harus lebih ditingkatkan, karen yang saya rasakan sekarang itu masih kurang;PUSAT BAHASA
mungkin harus diadakan les bahasa selain bahas inggris, agar jika ada mahasiswa yang berniat ingin bisa berbahasa selain bahasa inggris, keinginan dia bisa terpenuhi;PUSAT BAHASA
tolong disediakan membayar eprt onsite, jadi tidak usah membayar lewat bank/atm, kadang2 atm yang ada d kawasan telyu itu error;PUSAT BAHASA
saya rasa pusat bahasa yang sekarang sudah lebih baik dari tahun 2016 dulu;PUSAT BAHASA
tolong supaya lebih dipermudah saja alurnya, tidak berbelit belit;PUSAT BAHASA
saya rasa pusat bahasa harus menyediakan les bagi mereka yang ingin multilingual;PUSAT BAHASA
menurut saya, telkom harus merubah dari eprt menjadi toefl yang sudah umum, karena nilai eprt tidak bisa digunakan di cv sebagaimana nilai toefl;PUSAT BAHASA
Pusat bahasa harusnya mengerti dalam hal melayani mahasiswa, tpi dibagian pelayanan sangat tidak melayani, jutek, dll. Teruntuk bagian2 layanan yg lainya;PUSAT BAHASA
dulu waktu maba, saya pernah disuruh ikut les oleh dosen bahasa inggris saya, dan bagi yg gaikut les, gakan dapat nilai tambah, tolong hal2 seperti itu dihilangkan, ini sama saja dengan membeli nilai;PUSAT BAHASA
Adakan akses online yg mudah dan informatif;PUSAT BAHASA
tolong adakan EPRT online agar mempermudah dalam proses pengetesan EPRT;PUSAT BAHASA
alangkah lebih baiknya pusat bahasa menyediakan course2 (diluar mereka yg tidak ikut les), tetapi tetap dibedakan dengan mereka yang ikut test;PUSAT BAHASA
tempatnya sebaiknya di perbesar, terutama dalam test eprt. Saya hampir ga bisa sidang karna eprt nya kuotanya terbatas;PUSAT BAHASA
Sebaiknya melakukan sosialisasi lagi tentang pelayanan apa saja di pusat bahasa;PUSAT BAHASA
Untuk menanggulangi masalah yg sedang dihadapi seperti covid sekarang, mohon untuk meringankan atau melakukan test secara online dirumah masing2;PUSAT BAHASA
"program seperti les untuk eprt kurang efektif, selain biayanya yang bisa dibilang cukup mahal juga program ini kebanyakan dicap oleh mahasiswa untuk ""membantu"" dalam ujian eprt, padahal tidak ada hubungannya sama sekali.";PUSAT BAHASA
tolong agar selalu diperbaharui buku eprt terutama dari sumber referensinya, agar tetap up-to-date;PUSAT BAHASA
"Penjaga bapak"" kurang ramah, headset harus sudah di ganti, buku Eprt jangan fotocopyan";PUSAT BAHASA
Sejauh ini fasilitas layanan pusat bahasa sudah cukup baik. Namun, proses publikasi dan sosialisaai tata cara prosedur penggunaan layanan tersebut masih kurang dan masih banyak mahasiswa yg belum mengetahui hal itu.;PUSAT BAHASA
Sudah cukup baik akan tetapi dapat menambah sarana tempat belajar pada luar ruangan.;PUSAT BAHASA
mengapa eprt dan ecct dijadikan satu menjadi toefl? Agar bisa digunakan di cv;PUSAT BAHASA
menurut saya pembayarannya terbilang merepotkn mesti mondar mandir ke mandiri dulu;PUSAT BAHASA
saya mengikuti test ecct, tapi sampai sekarang skor saya belum keluar terus;PUSAT BAHASA
turunkan harga eprt dan ecct, terutama bagi mereka yang gagal/mengulang test;PUSAT BAHASA
menurut saya, lebih baik diadakan pembayaran secara langsung, agar proses administradi dari pendaftarannya berlangsung dengan cepat, dan efektif;PUSAT BAHASA
Ruang tes dan komputernya kotor, kurang dirawat;PUSAT BAHASA
pendaftaran dan pembayaran cukup mudah dan simple. layanan di lac sudah baik, pelayanannya ramah. fasilitas ruang test pada headphone yang digunakan baiknya diganti.;PUSAT BAHASA
peripheral yg sudah usang agar di perbaharui, sehingga bisa meningkatkan kualitas tes;PUSAT BAHASA
headphone yang digunakan suaranya sudah agak kresek2 jelek, hal ini sangat mengecewakan;PUSAT BAHASA
Sound systemnya diperbaiki biar pas latihan listening bisa kedengeran dengan jelas;PUSAT BAHASA
speaker di ruang test kurang menyebar suara nya, jadi hanya yang didekat speaker saja yang bisa jelas mendengarkan nya;PUSAT BAHASA
menurut saya test nya menggunakan komputer saja, agar peserta test tidak kehabisan waktu untuk membulatin jawaban;PUSAT BAHASA
test dengan kertas memakan waktu, menurut saya mending test dengan komputer, sehingga kita peserta test tinggal klik saja;PUSAT BAHASA
tolong agar selalu mengecek apabila ada alat2 penunjang test yg sudah rusak, seperti kemarin saat saya hendak test, headphone yang saya gunakan mati sebelah;PUSAT BAHASA
mohon bantuannya saya tidak bisa melakukan pembayaran tes EPrt melalui atm,m-banking dan taller di bank mandiri. Makasih;PUSAT BAHASA
menurut saya, telkom harus merubah dari eprt menjadi toefl karena nilai eprt tidak bisa dimasukkan ke cv;PUSAT BAHASA
saya rasa pusat bahasa harus menyediakan les bagi mereka yang ingin mempelajari lebih dari 2 bahasa asing;PUSAT BAHASA
tolong disedikan pdf pembelajaran untuk tes eprt, tidak apa apa berbayar juga;PUSAT BAHASA
karena skrg ada masalah covid sekarang, mohon untuk disediakan test secara online dirumah masing2;PUSAT BAHASA
Sound systemnya harus diperbaiki agar jelas saat listeningnya;PUSAT BAHASA
tolong ini nilai eprt saya sudah 1 minggu belum keluar;PUSAT BAHASA
tolong disediakan membayar eprt onsite kadang2 atm yang ada d kawasan telyu itu error;PUSAT BAHASA
proses di bagian pelayanan pendaftar nya harus lebih ditingkatkan, misalnya menambah loket admin;PUSAT BAHASA
apakah eprt dan toefl itu sama? Karena sekarang banyak perusahaan yg menanyakan skor toefl utk persyaratan mrk;PUSAT BAHASA
lebih baik test nya pake komputer saja, agar peserta test tidak kehabisan waktu untuk membulati jawaban;PUSAT BAHASA
tempatnya sebaiknya di perbesar, terutama dalam test eprt. Saya hampir ga bisa sidang karna eprt nya kuotanya terbatas, sedangkan saya sudah mendekati sidang TA;PUSAT BAHASA
pendaftaran dan pembayaran cukup mudah dan simple, namun pada headphone yang digunakan baiknya diganti.;PUSAT BAHASA
suara speaker saat test listening hanya menguntungkan yg berada di baris depan;PUSAT BAHASA
turunkan biaya eprt/ecct, terutama bagi mereka yg gagal test;PUSAT BAHASA
apakah bila sudah test eprt 3x berturut - turut makan dinyatakan lulus test ?;PUSAT BAHASA
itu buku eprt jangan fotocopy an dong;PUSAT BAHASA
tombol keyboard di ruang tunggu agak keras;PUSAT BAHASA
alangkah lebih baiknya testnya jgn menggunakan kertas, jika menggunakan kertas jangn sampai menghambat peserta test hanya karena harus membulati jwaban;PUSAT BAHASA
mungkin harus diadakan les bahasa selain bahas inggris, terutama bagi mahasiswa yg akan hendak mengikuti program pertukaran pelajar;PUSAT BAHASA
