,keluhan,bagian,id,keluhan_length,clean_keluhan
10,"Sebelumnya saya mengucapkan terima kasih telah dibantu untuk legalisasi ijazah dan transkrip secara online.
Saya ingin memberikan masukan. Untuk dokumen legalisasi yg dikirim, mohon untuk dapat diletakkan dengan map yang berbahan keras  ;yang berguna untuk melindungi itu sendiri.
Hal ini saya sampaikan karena dokumen yang saya terima tertekuk dan terlipat.
Terimakasih.",BAA,1,371,bantu legalisasi ijazah transkrip online masuk dokumen legalisasi kirim letak bahan keras lindung dokumen tekuk lipat
11,"Saya sudah input pengajuan untuk legalisir ijazah dan transkip nilai, kenapa belum ada reply untuk pembayaran dan info untuk legalisirnya?",BAA,1,138,input aju legalisir ijazah transkip nilai reply bayar info legalisirnya
12,"""Saya ingin menggunakan aplikasi DeLa untuk keperluan legalisasi Ijazah Transkrip Nilai, tetapi ketika saya login dengan menggunakan akun igracias yang saya miliki tidak bisa. Kemudian saya mencoba untuk membuat akun baru dan tidak bisa juga dengan keterangan """"failed, Your Account Already Exist"""".
Mohon bantuannya karena saya sangat membutuhkan legalisasi tersebut. Terimakasih. :)""",BAA,1,385,aplikasi dela legalisasi ijazah transkrip nilai login akun igracias milik coba akun terang failed your account already exist bantu butuh legalisasi
13,"""saya cek menu kelengkapan sidang (5) terdapat gambar seperti gambar 1, kemudian saya cek menu daftar sidang (4) terdapat gambar seperti gambar 2, kemudian saya cek profil saya terdapat gambar seperti gambar 3, kemudian pada menu daftar sidang dan klik cetak form ijazah dan transkip muncul gambar seperti gambar 4
apakah bisa di perbaiki menghilangkan foto yang bertuliskan kurang lebih 'maaf ijazah file sma blm di upload ...'""",BAA,1,429,cek menu lengkap sidang gambar gambar cek menu daftar sidang gambar gambar cek profil gambar gambar menu daftar sidang klik cetak form ijazah transkip muncul gambar gambar hilang foto tulis ijazah file sma upload
14,"Saya sudah mendaftar sidang dan yudisium menggunakan LOA dan form lainnya , dan sudah membayar wisuda dan toga dan tidak ada tunggakan biaya semester , namun di bagian sub wisuda , saya dinyatakan belum membayar wisuda dan masih ada tunggakan semester , itu kenapa ya pak / bu? Terimakasih",BAA,1,289,daftar sidang yudisium loa form bayar wisuda toga tunggak biaya semester sub wisuda nyata bayar wisuda tunggak semester ya
15,Saya sudah lunas pembayaran wisuda. Apakah bisa untuk aktivasi registrasi wisuda tanpa harus ke admin? Soalnya masih ada urusan diluar. Apakah wisuda november memiliki maks kuota wisudawan?,BAA,1,189,lunas bayar wisuda aktivasi registrasi wisuda admin urus wisuda november milik maks kuota wisudawan
16,"Saya Muhammad Damar Hafizh NPM. 1401144241, ingin bertanya terkait registrasi Wisuda Periode November 2018, terlampir bahwasanya saya sudah registrasi wisuda justru kolom merah keluar lagi yang menyatakan saya belum upload openlibrary, padahal sebelumnya sudah hijau, lalu saya mengupload foto berjas hitam dengan latar terang, apakah tidak masalah Pak/Bu? Dan juga saya memohon untuk dibuka kembali update pendaftaran wisuda karena lupa menyimpan form Wisuda. Terima Kasih.",BAA,1,474,muhammad damar hafizh npm kait registrasi wisuda periode november lampir registrasi wisuda kolom merah nyata upload openlibrary hijau mengupload foto jas hitam latar terang pakbu buka update daftar wisuda lupa simpan form wisuda
17,"Salam.
Saya ingin menyampaikan keluhan mengenai pengumuman peserta wisuda. Wisuda bulan Agustus diadakan 2 kloter, yaitu tanggal 14 dan 15. Namun sampai dengan awal Agustus belum ada kepastian mengenai pembagian kloter untuk setiap jurusannya, misalnya D3 Komputerisasi Akuntansi dapat tanggal 14 atau 15, juga belum ada surat resmi dan undangan orang tua. Beberapa orang tua berprofesi sebagai pegawai negeri, seperti orang tua saya, dan izinnya harus ke dinas dengan menyertakan undangan wisuda. Tidak bisa izin sembarangan dan seenaknya. Selain itu, orang tua saya juga dari luar kota dan perlu memesan tiket, penginapan, dan lain-lain. ;
Alangkah baiknya, pengumuman dan undangan orang tua dibagikan setidaknya sebulan sebelum atau paling tidak ya awal Agustus, supaya yang dari luar kota juga bisa bersiap-siap. Saya harap ketidaknyamanan ini tidak terulang lagi untuk wisuda periode selanjutnya dan saya harap segera diperbaiki. Terima kasih.",BAA,1,948,salam keluh kena wisuda wisuda agustus kloter tanggal agustus kena kloter jurus d komputerisasi akuntansi tanggal surat resmi undang orang tua orang tua profesi pegawai negeri orang tua izin dinas undang wisuda izin sembarang enak orang tua kota mes tiket inap lainlain alangkah undang orang tua ya agustus kota bersiapsiap harap ketidaknyamanan ulang wisuda periode harap
18,permisi untuk wisuda pada bulan agustus diketerangan tertera Anda belum mengisi I-Gracias menu Tracer Study Sensus Member Tel-U Career sedangkan sudah saya buka pada trace study sensus disana tidak tertera member tel-u career itu bagaimana solusinya,BAA,1,249,permisi wisuda agustus terang tera isi igracias menu tracer study sensus member career buka trace study sensus tera member career solusi
19,"""Nama saya Salma Umi Chasanah dengan NIM 1104130067 dengan status sudah sidang akademik pada 26 Januari 2018
Namun pada saat akan melakukan pendaftaran wisuda secara online dari igracias tidak dapat dilakukan dikarenakan alasan yang tidak diketahui. Mohon informasi terkait hal ini.
Terima kasih
Regards,
Salma Umi Chasanah""",BAA,1,324,nama salma umi chasanah nim status sidang akademik januari laku daftar wisuda online igracias laku alas informasi kait salma umi chasanah
20,"selamat malam. saya ingin mendaftar wisuda tetapi pada menu wisuda saya tidak bisa input, menunya hanya cetak berita acara. sedangkan ketika saya cetak berita acara adanya itu di cancel pada wisuda november. mohon pencerahannya",BAA,1,227,daftar wisuda menu wisuda input menu cetak berita acara cetak berita acara cancel wisuda november cerah
21,"Selamat malam bapak/ibu admin saya ingin melaporkan bahwa saya tidak bisa mendaftar wisuda pada igracias sementara saya sudah sidang tingkat akhir, penandatanganan ijazah juga suda dan ketika mau mendaftar melalui igracias tidak bisa, saya belum diizinkan, mohon segera di proses bapak/ibu admin.
 ;
Terimakasih banyak.",BAA,1,319,bapakibu admin lapor daftar wisuda igracias sidang tingkat penandatanganan ijazah suda daftar igracias izin proses bapakibu admin
22,"Assalamualaikum, maaf menganggu ada beberapa hal yang tidak sesuai pada igracias saya

Status pembayaran untuk tahun ajaran 17/18 dinyatakan belum lunas, padahal saya sudah lulus yudisium pada 8 september
Di status sidang dinyatakan saya belum sidang padahal saya sudah sidang, dan dinyatakan lulus beserta revisi2nya

Mohon diperiksa, takutnya akan menjadi kendala pada saat pendaftaran wisuda nantinya
Terima kasih",BAA,1,416,menganggu sesuai igracias status bayar ajar nyata lunas lulus yudisium september status sidang nyata sidang sidang nyata lulus revisi periksa takut kendala daftar wisuda
23,"Assalamualaikum min, saya tidak mengerti lagi ini. kenapa dalam pendaftaran wisuda di suruh mengisi trace study, menu nya tidak tersedia . tolong menu tersebut di munculkan.TerimakasihMuhammad Dzakwan Falih",BAA,1,206,min erti daftar wisuda suruh isi trace study menu nya sedia menu munculkanterimakasihmuhammad dzakwan falih
24,"Selamat pagi maaf menggangu, disini saya mengalami kendala saat mau mencetak KSM awal semester 6 kemarin, sepertinya file KSM semester 6 kemarin sudah ketimpa dengan sistem registrasi baru untuk semester kedepanya, jika saya ingin mencetak ksm untuk semester 6 kemarin apakah bisa ? misalnya bisa tahap-tahapnya bagaimana ya ? jawaban dan bantuan anda sangat bermanfaat bagi saya.
Terima kasih.",BAA,1,394,menggangu alami kendala cetak ksm semester kemarin file ksm semester kemarin timpa sistem registrasi semester depa cetak ksm semester kemarin tahaptahapnya ya bantu manfaat
25,"1. Pembayaran SPP Genap 1415 dianggap belum lunas di iGracias.
2. Saya ingin membayar tagihan semester ini (Genap 1617) yang tertunggak (karena terlambat registrasi), namun tidak tampak nilai tagihannya. ;
mohon solusi pada kesempatan pertama, mengingat setelah poin1 2 selesai, saya akan mengajukan ijin cuti. ;
terima kasih
hendri purnaratman
(alumni S1 STTT dan mahasiswa S2 W-2",BAA,1,381,bayar spp genap anggap lunas igracias bayar tagih semester genap tunggak lambat registrasi nilai tagih solusi poin selesai aju ijin cuti hendri purnaratman alumni s sttt mahasiswa s
26,"saya ryan mahasiswa teknik industri 2016, saya menggunakan beasiswa jpu, tetapi tidak hanya 1x saya mengalami keterlambatan pencairan beasiswa, jadi mepet dengan  registrasi matkul",BAA,1,180,ryan mahasiswa teknik industri beasiswa jpu x alami lambat cair beasiswa mepet registrasi matkul
27,"Selamat pagi,
Saya Andika Tegar Setiawan penerima beasiswa internal JPPAU ingin melaporkan sekaligus komplain berkaitan dengan beasiswa yang saya terima. Sesuai dengan perjanjian sebelumnya, jika IP semester saya memenuhi syarat dan ketentuan saya akan mendapatkan potongan BPP, IP semester yang saya peroleh 3.53, sedangkan pada sistem igracias jumlah BPP masih terhitung jumlah BPP normal, dan ini tidak sesuai dengan perjanjian sebelumnya dimana jika pada batas BPP tertentu saya akan memperoleh potongan BPP. Dikarenakan jumlah BPP belum merupakan hasil potongan saya belum bisa melakukan pembayaran dan registrasi pun terhambat. Saya mohon untuk segera memproses dan menginformasikan berapa BPP yang harus saya bayarkan demi kelancaran saya dalam registrasi di semester ini.
Terimakasih.",BAA,1,792,andika tegar setiawan beasiswa internal jppau lapor komplain kait beasiswa sesuai janji ip semester penuh syarat potong bpp ip semester sistem igracias bpp hitung bpp normal sesuai janji batas bpp potong bpp bpp rupa hasil potong laku bayar registrasi hambat proses informasi bpp bayar lancar registrasi semester
28,"maaf saya mau lapor sudah 3 semester terakhir pencairan beasiswa saya terlalu mepet dengan masa registrasi mata kuliah, sehingga saya tidak bisa mengambil matkul yang saya inginkan",BAA,1,180,lapor semester cair beasiswa mepet registrasi mata kuliah ambil matkul
29,"Assalamualaikum saya dwi ratna sari dari S1 sistem informasi dengan nim 1202150258, saya ingin bertanya perihal dengan sks yg saya ambil kenapa hanya mencapai 20 sks saja, padahal. Ips acuan saya pada semester kemarin sebesar 3.13 yang mana harusnya dapat mengambil sebanyak 24 sks. Waktu kmaren pagi ketika registrasi saya masi bisa mengambil 24 sks, ; akan tetapi pas malam harinya ketika ingin submit batas sks yg dapat saya ambil hanya 20 sks. ; Kenapa bisa berubah? ; Pdhal ips acuan saya memenuhi syarat. Trimakasih",BAA,1,521,dwi ratna sari s sistem informasi nim perihal sks ambil capai sks ips acu semester kemarin ambil sks kmaren registrasi ambil sks pas submit batas sks ambil sks ubah ips acu penuh syarat trimakasih
30,"Selamat pagi saya Nadia Wulandari alumni dari prodi administrasi bisnis.
Terkait layanan yang saya pilih yaitu penerbitan ijazah, apakah dari pihak kampus bisa menerbitkan kembali ijazah asli? karena ijazah saya masih tertahan di satu korporat.
mohon bantuannya dan saya tunggu kabar baiknya
 ;
Terima kasih",BAA,1,307,nadia wulandari alumni prodi administrasi bisnis kait layan pilih terbit ijazah kampus terbit ijazah asli ijazah tahan korporat bantu tunggu kabar
31,"Sebelumnya saya mengucapkan terima kasih telah dibantu untuk legalisasi ijazah dan transkrip secara online.
Saya ingin memberikan masukan. Untuk dokumen legalisasi yg dikirim, mohon untuk dapat diletakkan dengan map yang berbahan keras  ;yang berguna untuk melindungi itu sendiri.
Hal ini saya sampaikan karena dokumen yang saya terima tertekuk dan terlipat.
Terimakasih.",BAA,1,371,bantu legalisasi ijazah transkrip online masuk dokumen legalisasi kirim letak bahan keras lindung dokumen tekuk lipat
32,"Saya ingin menggunakan aplikasi DeLa untuk keperluan legalisasi Ijazah Transkrip Nilai, tetapi ketika saya login dengan menggunakan akun igracias yang saya miliki tidak bisa. Kemudian saya mencoba untuk membuat akun baru dan tidak bisa juga dengan keterangan ""failed, Your Account Already Exist"".
Mohon bantuannya karena saya sangat membutuhkan legalisasi tersebut. Terimakasih. :)",BAA,1,381,aplikasi dela legalisasi ijazah transkrip nilai login akun igracias milik coba akun terang failed your account already exist bantu butuh legalisasi
33,"Selamat malam bapak/ibu admin saya ingin melaporkan bahwa saya tidak bisa mendaftar wisuda pada igracias sementara saya sudah sidang tingkat akhir, penandatanganan ijazah juga suda dan ketika mau mendaftar melalui igracias tidak bisa, saya belum diizinkan, mohon segera di proses bapak/ibu admin.
 ;
Terimakasih banyak.",BAA,1,319,bapakibu admin lapor daftar wisuda igracias sidang tingkat penandatanganan ijazah suda daftar igracias izin proses bapakibu admin
34,"Assalammualaikum, berikut saya lampirkan keluhan karena saya mendapatkan email mengenai denda herregistrasi dan biaya wisuda, padahal saya tidak telat registrasi dan tidak mengajukan wisuda. Mohon segera ditindaklanjuti. Terimakasih",BAA,1,232,assalammualaikum lampir keluh email kena denda herregistrasi biaya wisuda telat registrasi aju wisuda ditindaklanjuti
35,"Sebelumnya maaf karena tidak sesuai dengan layanan kategori yang saya inginkan, karena pada saat saya memilih untuk bagian ijazah tidak ada sub kategori sedangkan diharuskan untuk memilih sub kategori (dilampiran)
 
 Dan karena tidak ada divisi khusus untuk penanganan wisuda, saya ingin memberi masukan kepada Telkom untuk memperbaiki fasilitas yang di berikan pada saat wisuda. Dikampus lain dengan harga wisuda yang lebih murah mendapatkan sepaket tiga dengan bahan dan jahitan yang rapi, sedangkan di telkom harus membayar lagi 200rb dengan bahan toga yang jelek. Lalu mengapa tidak ada penghargaan untuk mahasiswa dengan predikat lulus yang baik? Sedangkan di kampus lain sangat menghargai itu dengan memberikan selempang khusus. Mohon dipertimbangkan untuk perbaikan wisuda berikutnya.",BAA,1,791,sesuai layan kategori pilih ijazah sub kategori pilih sub kategori lampir divisi khusus tangan wisuda masuk telkom fasilitas ikan wisuda kampus harga wisuda murah paket bahan jahit rapi telkom bayar rb bahan toga jelek harga mahasiswa predikat lulus kampus harga selempang khusus timbang wisuda
36,saya sudah melakukan registrasi tetapi jadwal yang berlaku tetap yg lama dan proses registras belum selesai padahal saya sudah melakukan pencetakan ktm sesuai prosedur,BAA,1,167,laku registrasi jadwal laku proses registras selesai laku cetak ktm sesuai prosedur
37,"Yth bapak/ ibu yang berwenang,saya nabilah huwaida mahsiswa yang akan mencetak KSM. Matakuliah saya telah di ACC oleh dosen wali, Namun berkas KSM tidak muncul ketika saya membuka arsip KSM. di tuliskan tidak ada ksm yang ber laku. Mohon bantuan bapak/ibu dalam menyelesaikan masalah igracias ini. padahal selama saya registrasi saya selalu mencetak KSM yang di haruskan.",BAA,1,371,hormat berwenangsaya nabi huwaida mahsiswa cetak ksm matakuliah acc dosen wali berkas ksm muncul buka arsip ksm tulis ksm ber laku bantu bapakibu selesai igracias registrasi cetak ksm
38,"Sore admin, saya ada masalah tentang registrasi. Kemarin saya input mata kuliah ada yang salah pilih kelas (mata kuliah Merancang Interior III kelasnya salah) , dan sudah di reset Wali dosen, tapi sekarang mau mengganti (menghapus lalu input kelas yang benar) tidak bisa dilakukan. Berikut dilampirkan screenshot nya. Mohon bantuannya. ",BAA,1,336,admin registrasi kemarin input mata kuliah salah pilih kelas mata kuliah rancang interior iii kelas salah reset wali dosen ganti hapus input kelas laku lampir screenshot nya bantu
39,"selamat siang, maaf saya ingin menanyakan perihal registrasi mata kuliah. saya mahasiswa ilmu komputasi yang ingin mengambil semester 10 pada masa registrasi sekarang ini. permasalahan saya mengenai preview jadwal yang tidak tertera, jadi saya tidak mengetahui apakah mata kuliah yang saya pilih tersebut bentrok atau tidak. Mohon untuk segera diperbaiki mengenai preview jadwal tersebut. terima kasih.",BAA,1,402,perihal registrasi mata kuliah mahasiswa ilmu komputasi ambil semester registrasi kena preview jadwal tera mata kuliah pilih bentrok kena preview jadwal
40,semua mahasiswa kelas IF-41-INT mengalami kendala dalam melakukan registarasi mata kuliah. kami tidak dapat melakukan registrasi dikarenakan mata kuliah default kami tidak muncul di registrasi mata kuliah. kami sudah melakukan pembayaran bpp dan web sudah kami coba untuk refresh tapi tetap tidak mengeluarkan mata kuliah default kami. terimakasih.,BAA,1,348,mahasiswa kelas ifint alami kendala laku registarasi mata kuliah laku registrasi mata kuliah default muncul registrasi mata kuliah laku bayar bpp situs coba refresh mata kuliah default
41,"Saya tidak bisa melakukan input registrasi mata kuliah semester genap. Padahal saya sudah berkali-kali mencoba menghubungi dosen wali dan sampai hari ini masih saja tidak bisa. Saya khawatir jika sampai deadline waktu yang ditentukan saya masih tetap tidak bisa registrasi mata kuliah.
 
 Mohon direspon secepatnya dan sistemnya tolong diperbaiki as soon as possible karena gangguan seperti ini sangat mengganggu kelancaran proses registrasi.",BAA,1,442,laku input registrasi mata kuliah semester genap berkalikali coba hubung dosen wali khawatir deadline registrasi mata kuliah direspon cepat sistem as soon as possible ganggu ganggu lancar proses registrasi
42,"Saya sebagai mahasiswa yang masuk lewat JPU seharusnya tidak perlu membayar BPP untuk semester 2 dikarenakan IP saya yang mencukupi. Namun, saya tidak bisa melakukan registrasi dikarenakan saya belum melakukan pembayaran biaya registrasi sebesar rp.8.150.000 yang dimana seharusnya saya tidak perlu melakukan hal itu.",BAA,1,317,mahasiswa masuk jpu bayar bpp semester ip laku registrasi laku bayar biaya registrasi rupiah laku
43,"Selamat siang, saya muhammad sholahuddin arrosyid dari teknik telekomunikasi 2017 1101174415. Jadi pada saat registrasi mata kuliah saya tidak sengaja mencentang matkul pkn dan saya lihat di matkul semester genap ada pkn, karena saya sudah mengambil matkul tersebut lalu saya hapus. Akibatnya sks semester 1 saya jadi 16 dari 19 sks. Sebelumnya ip semester 1 saya 3.5 turun menjadi 3.41 karena sks smt 1 saya hanya 16 padahal sebelum registrasi nilai akhir saya dengan 19 sks adalah 3.5.",BAA,1,487,muhammad sholahuddin arrosyid teknik telekomunikasi registrasi mata kuliah sengaja centang matkul pkn lihat matkul semester genap pkn ambil matkul hapus akibat sks semester sks ip semester turun sks smt registrasi nilai sks
44,"Selamat malam.
Saya Sahnaz mahasiswa kriya tekstil dan mode 2015. Saya tidak dapat melakukan registrasi mata kuliah dikarenakan mata kuliah yang tersedia tidak dapat dicentang.Berikut mata kuliah yang akan saya ambil ; : Tugas Akhir, e-fashion, dan budaya nusantara. ;
Mohon info dan tindakan lanjutannya. Terimakasih. ",BAA,1,319,sahnaz mahasiswa kriya tekstil mode laku registrasi mata kuliah mata kuliah sedia dicentangberikut mata kuliah ambil tugas efashion budaya nusantara info tindak
45,"Selamat malam, ;
Kepada Yth. Bpk/Ibu
 ;
Mohon maaf, saya ingin melaporkan perihal registrasi di igracias. Bahwa, matakuliah ""Tugas Akhir"" yang akan di ambil tidak dapat dipilih, maupun di tambahkan. Masalah ini juga terjadi kepada teman satu kelas saya lainnya.
Mohon bantuan untuk memperbaikinya. Terimakasih banyak.",BAA,1,317,hormat bpkibu lapor perihal registrasi igracias matakuliah tugas ambil pilih teman kelas bantu
46,Tidak bisa melakukan registrasi untuk mata kuliah yang dipilih semester sekrang yaitu budaya nusantara dan TA karena kolom yang tersedia sudah dinyatakan lulus padahal belum pernah mengambil mata kuliah tersebut,BAA,1,211,laku registrasi mata kuliah pilih semester sekrang budaya nusantara ta kolom sedia nyata lulus ambil mata kuliah
47,Tidak dapat melakukan registrasi mata kuliah,BAA,1,44,laku registrasi mata kuliah
48,"Saya Andika Tegar Setiawan penerima beasiswa internal JPPAU ingin melaporkan sekaligus komplain berkaitan dengan beasiswa yang saya terima. Sesuai dengan perjanjian sebelumnya, jika IP semester saya memenuhi syarat dan ketentuan saya akan mendapatkan potongan BPP, IP semester yang saya peroleh 3.53, sedangkan pada sistem igracias jumlah BPP masih terhitung jumlah BPP normal, dan ini tidak sesuai dengan perjanjian sebelumnya dimana jika pada batas BPP tertentu saya akan memperoleh potongan BPP. Dikarenakan jumlah BPP belum merupakan hasil potongan saya belum bisa melakukan pembayaran dan registrasi pun terhambat. Saya mohon untuk segera memproses dan menginformasikan berapa BPP yang harus saya bayarkan demi kelancaran saya dalam registrasi di semester ini.
Terimakasih.",BAA,1,778,andika tegar setiawan beasiswa internal jppau lapor komplain kait beasiswa sesuai janji ip semester penuh syarat potong bpp ip semester sistem igracias bpp hitung bpp normal sesuai janji batas bpp potong bpp bpp rupa hasil potong laku bayar registrasi hambat proses informasi bpp bayar lancar registrasi semester
49,"Kebijakan setiap semester untuk penerima beasiswa suka berubah-ubah. Misal semester 2 dapat registrasi walaupun belum melakukan pembayaran, lalu semester 3 tidak dapat registrasi sebelum membayar.
Kemudian, sistem kadang telat memberitahukan berapa jumlah beasiswa yang didapat, sehingga telat mengetahui berapa jumlah bpp yang harus dibayarkan.",BAA,1,345,bijak semester beasiswa suka berubahubah semester registrasi laku bayar semester registrasi bayar sistem kadang telat memberitahukan beasiswa telat bpp bayar
50,"aya ;rachmah firstriani, S1 Kriya tekstil dan mode, kelas KR 39 03B tidak bisa melakukan registasi online karena tidak ada pilihan matakuliah dan kelas sesuai dengan aturan yang seharusnya diambil pada semester genap ini pada pilihan registrasi serta tidak bisa melakukan klik pada kolom pilih yang seharusnya. Mata kuliah tersebut adalah:
Tugas Akhir (tidak bisa di Klik) ;
E-Fashion kelas KR 39 03B (tidak ada kelas dan tidak bisa di klik)
Budaya Nusantara kelas KR 39 03 (tidak ada kelas dan tidak bisa di klik)
dimohon untuk kerjasamanya terimakasih",BAA,1,553,rachmah firstriani s kriya tekstil mode kelas kr bb laku registasi online pilih matakuliah kelas sesuai atur ambil semester genap pilih registrasi laku klik kolom pilih mata kuliah tugas klik efashion kelas kr bb kelas klik budaya nusantara kelas kr kelas klik kerjasamanya
51,nilai eprt saya sudah 2 minggu belum keluar,PUSAT BAHASA,1,43,nilai eprt minggu
52,"headphone yang disediakan saat test kurang baik, kurang jelas bila mendengar",PUSAT BAHASA,1,76,headphone sedia test dengar
53,"saya elvan dari s1 teknik industri, saya merasa antriannya pada pusat bahasa terlalu lama, karena jumlah admin tidak sebanding dengan jumlah mahasiswa",PUSAT BAHASA,1,150,elvan s teknik industri antri pusat bahasa admin banding mahasiswa
54,"banyaknya mahasiswa yang mendaftar tetapi tidak sebanding dengan banyaknya admin yang ada, hal itu membuat antrian menumpuk",PUSAT BAHASA,1,123,mahasiswa daftar banding admin antri tumpuk
55,"jumlah kursinya kurang, sehingga banyak yg menunggu sambil berdiri",PUSAT BAHASA,1,66,kursi tunggu
56,"saya mengalami kesulitan dalam membayar Eprt di m-banking mandiri, mohon bantuannya",PUSAT BAHASA,1,83,alami sulit bayar eprt mbanking mandiri bantu
57,"saya ryan mahasisswa s1 teknik indurstri, saya merasa speaker saat test listening itu terlalu jauh dari kursi saya yang di belakang, dan hanya menguntungkan yang berada di baris depan",PUSAT BAHASA,1,183,ryan mahasisswa s teknik indurstri speaker test listening kursi untung baris
58,saya mengalami kesulitan dalam registrasi di pusat bahasa,PUSAT BAHASA,1,57,alami sulit registrasi pusat bahasa
59,"saya ari mahasiswa tingkat akhir fak. Ilmu terapan, saya sudah tes eprt sebanayk 2x dan masih belum mencapai target skor, dan ini sudah mepet pendaftaran sidang terakhir di semester ini, apakah saya bisa mendapat keringanan ?",PUSAT BAHASA,1,225,ari mahasiswa tingkat fak ilmu terap tes eprt sebanayk x capai target skor mepet daftar sidang semester ringan
60,"sudah hampir 2 minggu nilai eprt saya belum keluar, padahal saya di janji akan keluar skor eprt nya dalam 1 hari",PUSAT BAHASA,1,112,minggu nilai eprt janji skor eprt nya
61,"saya mengikuti eprt online tetapi hasil skor eprt nya belum keluar padahal udah lebih dari 1 hari, sedangkan di janjiin nya h+3 jam dari beres tes",PUSAT BAHASA,1,146,eprt online hasil skor eprt nya janjiin nya h jam beres tes
62,mengapa ya akhir2 ini tidak bisa melakukan pembayaran test eprt melalui m-banking ? Teman2 saya juga demikian,PUSAT BAHASA,1,109,ya laku bayar test eprt mbanking teman
63,"selamat siang, saya dosen LB hendak mendaftarkan test di pusat bahasa untuk upgrading ke kelas internasional, tetapi saya menemukan berbagai bug pada saat mendaftar. Mohon ditindaklanjuti",PUSAT BAHASA,1,187,dosen lb daftar test pusat bahasa upgrading kelas internasional temu bug daftar ditindaklanjuti
